Query,select2,select2,select2,select2
Index Type,No Index,B-tree Index,Bitmap Index,Functional Index
Run,,,,
1,5.054965972900391,3.001507043838501,5.117133140563965,5.312901973724365
2,5.039190053939819,3.05793833732605,5.143440008163452,5.149511098861694
3,5.085345983505249,2.9632298946380615,5.141944885253906,5.20349907875061
4,5.0931031703948975,2.9531729221343994,5.188216924667358,5.184701919555664
5,5.069579601287842,3.1583468914031982,5.171680927276611,5.17041277885437
6,5.08021092414856,2.899873971939087,5.155614852905273,5.192128896713257
7,5.0352418422698975,2.834805965423584,5.110442399978638,5.179442882537842
8,5.152968883514404,2.847001791000366,4.905437231063843,5.18081521987915
9,5.166575193405151,2.846769332885742,4.958899021148682,4.967580080032349
10,5.245950222015381,2.9024479389190674,5.437921762466431,4.925249814987183
