Query,Run,Execution Time (s),Index Type
select2,1,18.58099102973938,No Index
select2,2,18.38018488883972,No Index
select2,3,18.441012859344482,No Index
select2,4,18.521953105926514,No Index
select2,5,18.90763807296753,No Index
select2,6,19.444040775299072,No Index
select2,7,19.931900024414062,No Index
select2,8,18.860340118408203,No Index
select2,9,18.552804946899414,No Index
select2,10,18.621898889541626,No Index
select2,1,8.775354146957397,B-tree Index
select2,2,8.578502893447876,B-tree Index
select2,3,8.600512027740479,B-tree Index
select2,4,8.735601902008057,B-tree Index
select2,5,8.819808959960938,B-tree Index
select2,6,8.954813003540039,B-tree Index
select2,7,8.809904098510742,B-tree Index
select2,8,8.752256155014038,B-tree Index
select2,9,8.68901777267456,B-tree Index
select2,10,8.679566860198975,B-tree Index
select2,1,18.398340940475464,Bitmap Index
select2,2,18.91844081878662,Bitmap Index
select2,3,18.871378898620605,Bitmap Index
select2,4,18.741940021514893,Bitmap Index
select2,5,18.746787071228027,Bitmap Index
select2,6,18.42352294921875,Bitmap Index
select2,7,19.162900924682617,Bitmap Index
select2,8,18.440509796142578,Bitmap Index
select2,9,18.35826802253723,Bitmap Index
select2,10,18.111275911331177,Bitmap Index
select2,1,18.425315141677856,Functional Index
select2,2,18.679656982421875,Functional Index
select2,3,18.275925159454346,Functional Index
select2,4,18.456237077713013,Functional Index
select2,5,18.9113609790802,Functional Index
select2,6,18.823031187057495,Functional Index
select2,7,18.865972995758057,Functional Index
select2,8,18.35688591003418,Functional Index
select2,9,18.140627145767212,Functional Index
select2,10,18.61302876472473,Functional Index
